8	9	24	37	41	46
8	9	21	24	37	42
8	9	20	24	27	46
8	9	20	21	24	41
8	9	12	24	27	41
8	9	12	20	24	42
6	9	36	43	44	49
6	9	26	34	35	49
6	9	23	36	39	40
6	9	17	34	38	39
6	9	17	22	32	49
6	9	13	26	30	44
6	9	13	18	39	43
6	9	13	17	35	48
6	8	34	39	43	49
6	8	32	36	38	39
6	8	26	35	36	40
6	8	24	26	38	49
6	8	15	22	36	49
6	8	13	22	23	39
6	8	13	14	26	34
5	9	37	38	41	43
5	9	34	38	41	46
5	9	29	32	36	41
5	9	23	27	30	37
5	9	21	38	42	43
5	9	21	27	34	38
5	9	20	21	23	30
5	9	18	27	46	47
5	9	18	21	41	47
5	9	17	29	35	46
5	9	17	19	35	42
5	9	12	23	30	42
5	9	12	20	34	38
5	8	29	34	36	42
5	8	27	32	35	37
5	8	27	30	32	42
5	8	23	27	43	46
5	8	21	30	32	46
5	8	21	23	41	43
5	8	20	21	32	35
5	8	18	27	37	38
5	8	18	20	21	38
5	8	17	20	29	47
5	8	17	19	27	47
5	8	12	32	35	42
5	8	12	30	32	37
5	8	12	18	38	42
5	6	19	29	48	49
5	6	14	19	22	41
5	6	12	14	22	29
4	9	27	38	43	46
4	9	23	30	42	46
4	9	23	30	37	41
4	9	21	34	38	41
4	9	21	23	27	30
4	9	20	38	41	43
4	9	20	34	38	46
4	9	19	21	32	36
4	9	18	21	37	47
4	9	18	20	27	47
4	9	17	29	35	37
4	9	17	19	20	35
4	9	12	34	37	38
4	9	12	29	32	36
4	9	12	20	23	30
4	8	32	35	42	46
4	8	32	35	37	41
4	8	30	32	37	42
4	8	27	30	32	41
4	8	27	29	34	36
4	8	21	27	32	35
4	8	21	23	37	43
4	8	20	23	27	43
4	8	18	38	42	46
4	8	18	37	38	41
4	8	18	21	27	38
4	8	17	21	29	47
4	8	17	19	42	47
4	8	12	20	32	35
4	8	12	18	20	38
4	6	14	19	22	46
4	5	32	38	42	47
4	5	30	41	43	47
4	5	24	34	35	42
4	5	24	29	36	47
4	5	22	37	40	48
4	5	20	23	34	47
4	5	18	32	34	41
4	5	18	20	35	43
4	5	17	29	34	43
4	5	17	18	19	30
4	5	15	27	40	44
4	5	12	24	30	34
3	9	34	36	39	43
3	9	22	26	35	36
3	9	17	30	36	38
3	9	14	18	26	49
3	9	13	35	39	47
3	9	13	32	43	49
3	9	13	17	22	23
3	8	26	38	39	47
3	8	24	35	39	49
3	8	22	30	36	39
3	8	17	36	44	48
3	8	17	22	26	40
3	8	15	26	32	36
3	8	13	34	36	40
3	8	13	14	30	49
3	6	38	39	43	44
3	6	34	40	44	49
3	6	22	36	40	47
3	6	17	30	35	40
3	6	15	18	36	38
3	6	15	17	22	48
3	6	14	24	26	47
3	6	14	22	35	49
3	6	13	23	34	48
3	6	13	15	40	43
3	5	21	29	44	48
3	5	19	20	44	48
3	4	20	29	44	48
3	4	19	37	44	48
3	4	14	29	40	41
3	4	14	19	27	40
2	9	27	38	41	43
2	9	23	30	37	42
2	9	21	29	32	36
2	9	20	27	34	38
2	9	20	23	30	46
2	9	20	21	38	43
2	9	18	27	37	47
2	9	18	21	46	47
2	9	17	20	29	35
2	9	17	19	35	41
2	9	12	34	38	41
2	9	12	21	23	30
2	8	32	35	37	42
2	8	30	32	41	42
2	8	29	34	36	46
2	8	23	27	37	43
2	8	21	23	43	46
2	8	20	32	35	46
2	8	20	30	32	37
2	8	19	21	34	36
2	8	18	37	38	42
2	8	18	20	38	46
2	8	17	29	42	47
2	8	12	27	30	32
2	8	12	21	32	35
2	8	12	18	21	38
2	8	12	17	19	47
2	6	14	19	22	37
2	6	13	19	29	40
2	5	30	35	38	41
2	5	27	30	43	47
2	5	24	32	37	43
2	5	24	30	34	46
2	5	23	35	37	47
2	5	22	40	42	48
2	5	20	32	38	47
2	5	20	24	34	35
2	5	18	27	32	34
2	5	18	23	24	41
2	5	17	19	24	38
2	5	15	26	29	48
2	5	15	21	40	44
2	5	14	29	39	48
